Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
01CD89       1    No     00000005-0000000A        6
0206C6      34    No     0000000B-00000043       39
020722       D    No     00000044-00000055       12
020739      18    No     00000056-00000072       1D
020773      19    No     00000073-00000090       1E
020792      16    No     00000091-000000AB       1B
0207B0       A    No     000000AC-000000BA        F
0207C2       2    No     000000BB-000000C1        7
0207CD      18    No     000000C2-000000DE       1D
0207EC      32    No     000000DF-00000115       37
020827      8B    No     00000116-000001A5       90
0208BC       C    No     000001A6-000001B6       11
0208D6      15    No     000001B7-000001D0       1A
0208F9       7    No     000001D1-000001DC        C
02092B      68    No     000001DD-00000249       6D
02099B      1E    No     0000024A-0000026C       23
0209C5       A    No     0000026D-0000027B        F
0209FE       1    No     0000027C-00000281        6
020A08       1    No     00000282-00000287        6
020AFF      19    No     00000288-000002A5       1E
020B1E      16    No     000002A6-000002C0       1B
020B3B      15    No     000002C1-000002DA       1A
020B59      16    No     000002DB-000002F5       1B
020B76      16    No     000002F6-00000310       1B
020B93      16    No     00000311-0000032B       1B
020BB1      17    No     0000032C-00000347       1C
020BD4       D    No     00000348-00000359       12
020D8B      17    No     0000035A-00000375       1C
020DA9      8D    No     00000376-00000407       92
020E41       F    No     00000408-0000041B       14
020E5D      10    No     0000041C-00000430       15
020E94      42    No     00000431-00000477       47
020EE3       4    No     00000478-00000480        9
021194       1    No     00000481-00000486        6
02119E       1    No     00000487-0000048C        6
0211CD      10    No     0000048D-000004A1       15
0211EA      15    No     000004A2-000004BB       1A
021207      11    No     000004BC-000004D1       16
021227       D    No     000004D2-000004E3       12
02123F      18    No     000004E4-00000500       1D
021261       D    No     00000501-00000512       12
02127A      16    No     00000513-0000052D       1B
021296      36    No     0000052E-00000568       3B
0212D3      35    No     00000569-000005A2       3A
02130E      13    No     000005A3-000005BA       18
021329      19    No     000005BB-000005D8       1E
02134E       9    No     000005D9-000005E6        E
021382      18    No     000005E7-00000603       1D
0213A0      14    No     00000604-0000061C       19
0213BD      16    No     0000061D-00000637       1B
0213D9      37    No     00000638-00000673       3C
021416      14    No     00000674-0000068C       19
0218DA      1C    No     0000068D-000006AD       21
0218FC      3E    No     000006AE-000006F0       43
021940      22    No     000006F1-00000717       27
021962       9    Yes    00000718-0000071F        8
0796A5       E    No     00000720-00000732       13
079FA2       3    No     00000733-0000073A        8
07A23F     1B5    No     0000073B-000008F4      1BA
07A585      82    No     000008F5-0000097B       87
07A610     272    No     0000097C-00000BF2      277
07A888      67    No     00000BF3-00000C5E       6C
------    ----    EOF    00000C5F-00000C61        3

Total Patches: 3E (62)
